CCSP,CDCS,ADCS,CDWS,GL,NDCS,NRBCON,SL,ZSCS,EURUSD,USDCLP,USDCNY,USDPEN,USInflation,ChinaInflation
59965.0,8294.6,2132.2,216605.0,1768.32,17934.55,2.9,34.53,2080.25,1.3,469.8,6.31,2.6,2.0,1.9
59160.0,8192.15,2068.6,220050.0,1765.18,18201.9,3.01,34.13,2066.9,1.29,471.88,6.3,2.6,2.0,1.9
59152.5,8300.4,2084.55,223435.0,1779.67,18479.0,2.9,34.64,2052.6,1.29,472.56,6.31,2.6,2.2,1.7
59121.0,8171.95,2003.75,219557.5,1764.47,17633.8,2.93,33.83,1945.81,1.29,473.84,6.29,2.59,2.2,1.7
58743.0,8132.3,1952.5,218700.0,1738.87,17026.1,2.78,32.72,1868.55,1.3,471.81,6.25,2.58,2.2,1.7
49107.0,7843.6,1918.3,220955.0,1711.35,16257.2,2.64,31.97,1805.95,1.3,478.94,6.25,2.58,2.2,1.7
52574.0,7764.9,1888.45,236030.0,1712.32,16044.1,2.69,32.0,1814.4,1.29,480.86,6.24,2.59,2.12,1.76
56302.0,7651.55,1893.35,244050.0,1694.54,15935.8,2.61,31.34,1845.4,1.28,480.52,6.24,2.6,1.8,2.0
55670.0,7627.4,1934.1,249030.0,1728.16,16036.6,2.66,32.47,1900.5,1.27,480.96,6.24,2.61,1.8,2.0
56012.0,7693.05,1937.1,254055.0,1723.16,16271.3,2.73,32.89,1908.1,1.28,481.2,6.23,2.6,1.8,2.0
56016.0,7751.95,1974.85,250055.0,1737.76,16658.3,2.73,33.84,1949.45,1.3,479.72,6.23,2.59,1.8,2.0
56777.0,7983.25,2095.2,249345.0,1709.38,17384.3,2.72,33.4,2014.2,1.31,479.63,6.23,2.58,1.74,2.3
57325.0,8055.85,2110.25,259750.0,1707.51,17477.0,2.61,33.14,2037.55,1.3,475.9,6.24,2.57,1.7,2.5
57367.0,8005.45,2109.75,289340.0,1685.7,17678.1,2.67,31.93,2056.03,1.32,474.24,6.24,2.56,1.7,2.5
56398.0,7803.7,2039.95,315405.0,1655.99,17294.0,2.77,29.93,2047.6,1.32,477.48,6.23,2.56,1.7,2.5
56961.75,7979.05,2065.82,319375.0,1671.14,17263.2,2.79,30.35,2066.5,1.32,477.7,6.23,2.55,1.66,2.3
57497.75,8064.05,2042.15,323210.0,1656.54,17326.9,2.78,30.23,2005.2,1.31,471.52,6.23,2.55,1.6,2.0
57692.0,7989.7,2036.07,333860.0,1672.75,17366.3,2.74,31.02,1980.2,1.33,472.8,6.22,2.54,1.6,2.0
57721.0,8052.9,2020.2,344840.0,1687.66,17433.4,2.81,31.98,2024.6,1.33,471.51,6.22,2.55,1.6,2.0
58059.0,8067.45,2030.75,354385.0,1664.22,17664.9,2.94,31.4,2081.45,1.35,470.93,6.22,2.56,1.6,2.0
58852.0,8218.0,2069.48,378700.0,1670.83,18477.6,3.03,31.72,2147.1,1.36,471.84,6.23,2.58,1.92,2.96
58867.0,8195.7,2076.4,397455.0,1655.89,18210.9,3.03,31.11,2168.5,1.34,471.62,6.23,2.58,2.0,3.2
58532.5,8080.75,2089.85,405860.0,1604.48,17742.7,3.11,29.59,2135.15,1.34,471.44,6.24,2.57,2.0,3.2
57105.0,7818.1,1997.15,431610.0,1592.09,16675.0,3.0,28.93,2079.8,1.31,472.97,6.23,2.58,2.0,3.2
56558.0,7717.55,1936.75,460650.0,1575.63,16509.8,3.12,28.56,1995.35,1.3,473.69,6.22,2.59,1.6,2.32
56571.0,7725.1,1923.6,499170.0,1582.57,16703.6,3.15,28.98,1956.2,1.3,471.67,6.22,2.6,1.5,2.1
56307.0,7658.7,1914.83,531905.0,1597.27,16774.9,3.12,28.83,1918.25,1.3,471.46,6.21,2.59,1.5,2.1
55942.0,7586.65,1895.85,560485.0,1605.96,16854.3,3.08,28.82,1902.6,1.29,472.16,6.21,2.59,1.5,2.1
55208.0,7493.45,1867.65,569940.0,1593.83,16515.1,3.09,28.12,1848.5,1.28,471.7,6.21,2.59,1.34,2.22
54834.0,7433.55,1856.45,579610.0,1570.04,16008.8,2.9,27.27,1855.05,1.3,468.82,6.2,2.58,1.1,2.4
54686.0,7386.73,1854.75,598970.0,1463.66,15844.0,2.81,25.38,1857.22,1.31,469.72,6.19,2.58,1.1,2.4
51186.0,6963.6,1868.75,613980.0,1402.05,15243.8,2.75,23.19,1846.8,1.3,476.49,6.18,2.58,1.1,2.4
51542.0,7057.9,1866.15,618940.0,1461.62,15285.1,2.81,24.04,1870.9,1.31,471.88,6.17,2.63,1.1,2.4
51876.0,7060.7,1820.43,610850.0,1462.56,14955.83,2.8,23.86,1825.43,1.31,470.85,6.16,2.63,1.4,2.1
53728.0,7337.05,1849.8,608245.0,1446.5,15216.4,2.85,23.68,1834.5,1.3,473.57,6.14,2.6,1.4,2.1
53449.0,7280.1,1821.75,626885.0,1381.23,14890.7,2.88,22.55,1808.85,1.29,481.32,6.14,2.63,1.4,2.1
53658.0,7311.15,1820.13,622477.5,1384.12,14857.2,2.84,22.4,1831.25,1.29,488.3,6.13,2.67,1.4,2.1
53626.0,7306.4,1880.0,612920.0,1400.45,14911.2,2.8,22.5,1894.9,1.3,495.75,6.13,2.71,1.56,2.34
53596.0,7216.15,1901.05,610160.0,1392.34,14879.8,2.84,22.03,1873.4,1.32,503.14,6.13,2.74,1.8,2.7
